round,grade,matchup,opposition,bowling_team,bowler_name,overs,maidens,runs,wickets,wides,no_balls
7,1st,FRA vs ST,FRA,ST,Thomas Russ,2,,0,11,5.50,0
7,1st,FRA vs ST,ST,FRA,Xavier Crone,2,,0,23,11.50,1
7,1st,FRA vs ST,ST,FRA,Lachlan Klauer,4,,0,19,4.75,1
7,1st,FRA vs ST,ST,FRA,Jaspreet Singh,4,,0,35,8.75,0
7,1st,FRA vs ST,ST,FRA,Mitchell Cestnik,2,,0,7,3.50,1
7,1st,FRA vs ST,ST,FRA,Jamie Matheson,1.1,,0,14,12.00,0
7,1st,FOO vs RIN,FOO,RIN,Matthew Fotia,3.4,,0,30,8.18,3
7,1st,FOO vs RIN,FOO,RIN,Justin Beaton,3,,0,27,9.00,2
7,1st,FOO vs RIN,FOO,RIN,David King,3,,0,30,10.00,0
7,1st,FOO vs RIN,FOO,RIN,Jackson Freeman,4,,0,31,7.75,2
7,1st,FOO vs RIN,FOO,RIN,Gabe Lawson,1,,0,19,19.00,0
7,1st,FOO vs RIN,FOO,RIN,Timothy Sugumar,2,,0,14,7.00,0
7,1st,FOO vs RIN,RIN,FOO,Jay Vine,2,,0,10,5.00,0
7,1st,FOO vs RIN,RIN,FOO,Dylan Brasher,2,,1,2,1.00,0
7,1st,FOO vs RIN,RIN,FOO,Joshua Pace,1,,0,5,5.00,0
7,1st,FOO vs RIN,RIN,FOO,Declan O'Brien,1,,0,15,15.00,0
7,1st,GRE vs MEL,GRE,MEL,David Moody,4,,0,37,9.25,3
7,1st,GRE vs MEL,GRE,MEL,Jack Sullivan,3,,0,23,7.66,2
7,1st,GRE vs MEL,GRE,MEL,Glenn Hannah,4,,0,33,8.25,0
7,1st,GRE vs MEL,GRE,MEL,Thomas Wrigglesworth,2,,0,15,7.50,1
7,1st,GRE vs MEL,GRE,MEL,Rishi Desai,3,,0,25,8.33,2
7,1st,GRE vs MEL,GRE,MEL,Jonathan Merlo,4,,0,32,8.00,2
7,1st,GRE vs MEL,MEL,GRE,Benjamin Cliff,3,,0,23,7.66,0
7,1st,GRE vs MEL,MEL,GRE,Musa Hussain,3,,0,22,7.33,0
7,1st,GRE vs MEL,MEL,GRE,Yaseen Muntasir,4,,0,37,9.25,0
7,1st,GRE vs MEL,MEL,GRE,Armann Singh,4,,0,29,7.25,0
7,1st,GRE vs MEL,MEL,GRE,Ivan Zmak,3,,0,32,10.66,0
7,1st,CAR vs GEE,CAR,GEE,Josh Garner,4,,0,29,7.25,1
7,1st,CAR vs GEE,CAR,GEE,Oliver Haberfield,3,,0,26,8.66,3
7,1st,CAR vs GEE,CAR,GEE,Arjun Sehrawat,3,,0,32,10.66,0
7,1st,CAR vs GEE,CAR,GEE,Lachlan Neate,2,,0,21,10.50,2
7,1st,CAR vs GEE,CAR,GEE,Joshua Larkin,2,,0,14,7.00,0
7,1st,CAR vs GEE,CAR,GEE,Patrick Sullivan,2,,0,13,6.50,0
7,1st,CAR vs GEE,GEE,CAR,Aaron Smillie,2,,0,24,12.00,0
7,1st,CAR vs GEE,GEE,CAR,Cameron Stevenson,3,,0,20,6.66,2
